name,version,license,url
@ewoudenberg/difflib,0.1.0,PSF,https://github.com/ewoudenberg/difflib.js
@types/node,18.0.6,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/yauzl,2.10.0,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
accepts,1.3.8,MIT,https://github.com/jshttp/accepts
ansi-styles,4.3.0,MIT,https://github.com/chalk/ansi-styles
archiver,5.3.1,MIT,https://github.com/archiverjs/node-archiver
archiver-utils,2.1.0,MIT,https://github.com/archiverjs/archiver-utils
argparse,2.0.1,Python-2.0,https://github.com/nodeca/argparse
array-flatten,1.1.1,MIT,https://github.com/blakeembrey/array-flatten
assertion-error,1.1.0,MIT,https://github.com/chaijs/assertion-error
async,3.2.4,MIT,https://github.com/caolan/async
async-mutex,0.4.0,MIT,https://github.com/DirtyHairy/async-mutex
asynckit,0.4.0,MIT,https://github.com/alexindigo/asynckit
axios,0.27.2,MIT,https://github.com/axios/axios
balanced-match,1.0.2,MIT,https://github.com/juliangruber/balanced-match
base64-js,1.5.1,MIT,https://github.com/beatgammit/base64-js
bl,4.1.0,MIT,https://github.com/rvagg/bl
body-parser,1.20.0,MIT,https://github.com/expressjs/body-parser
brace-expansion,2.0.1,MIT,https://github.com/juliangruber/brace-expansion
buffer,5.7.1,MIT,https://github.com/feross/buffer
buffer-crc32,0.2.13,MIT,https://github.com/brianloveswords/buffer-crc32
bytes,3.1.2,MIT,https://github.com/visionmedia/bytes.js
call-bind,1.0.2,MIT,https://github.com/ljharb/call-bind
chai,4.3.6,MIT,https://github.com/chaijs/chai
chalk,4.1.2,MIT,https://github.com/chalk/chalk
check-error,1.0.2,MIT,https://github.com/chaijs/check-error
cli-color,2.0.3,ISC,https://github.com/medikoo/cli-color
color-convert,2.0.1,MIT,https://github.com/Qix-/color-convert
color-name,1.1.4,MIT,https://github.com/colorjs/color-name
combined-stream,1.0.8,MIT,https://github.com/felixge/node-combined-stream
commander,9.4.0,MIT,https://github.com/tj/commander.js
compress-commons,4.1.1,MIT,https://github.com/archiverjs/node-compress-commons
concat-map,0.0.1,MIT,https://github.com/substack/node-concat-map
content-disposition,0.5.4,MIT,https://github.com/jshttp/content-disposition
content-type,1.0.4,MIT,https://github.com/jshttp/content-type
cookie,0.5.0,MIT,https://github.com/jshttp/cookie
cookie-signature,1.0.6,MIT,https://github.com/visionmedia/node-cookie-signature
core-util-is,1.0.3,MIT,https://github.com/isaacs/core-util-is
cors,2.8.5,MIT,https://github.com/expressjs/cors
crc-32,1.2.2,Apache-2.0,https://github.com/SheetJS/js-crc32
crc32-stream,4.0.2,MIT,https://github.com/archiverjs/node-crc32-stream
d,1.0.1,ISC,https://github.com/medikoo/d
dayjs,1.11.7,MIT,https://github.com/iamkun/dayjs
debug,4.3.4,MIT,https://github.com/debug-js/debug
deep-eql,3.0.1,MIT,https://github.com/chaijs/deep-eql
delayed-stream,1.0.0,MIT,https://github.com/felixge/node-delayed-stream
